八只鸡	高建国	方城淞	剧情	中国大陆	2018-07-19	No Choice		null
摩天营救	罗森·马歇尔·瑟伯	道恩·强森/内芙·坎贝尔/黄经汉/罗兰·默勒/麦肯纳·罗伯茨/诺亚·科特雷尔/诺亚·泰勒/巴勃罗·施瑞博尔/凯文·兰金/昆凌/文峰/马特·欧莱瑞/比特里斯·金/马志/保罗·麦克吉莱恩/吴嘉星/艾德里安·霍姆斯/维努斯·特雷佐/杰特·克莱恩/拜伦·劳森/关永扬/法比欧·塔索恩/卡洛·余	动作/惊悚/冒险	美国	2018-07-20	摩天大楼(台)/高凶浩劫(港)/高耸入云	6.5	889
北方一片苍茫	蔡成杰	田天/温新宇	剧情	中国大陆	2018-07-20	小寡妇成仙记/Mirrors and Feathers/The Widowed Witch/Shaman	6.8	1134
淘气大侦探	约翰·斯蒂文森	詹姆斯·麦卡沃伊/艾米莉·布朗特/约翰尼·德普/切瓦特·埃加福特/玛丽·布莱姬/迈克尔·凯恩/玛吉·史密斯/凯利·阿斯博瑞/德克斯特·弗莱彻/马特·卢卡斯/斯戴芬·莫昌特/奥兹·奥斯朋/罗莎莉·克雷格/詹米·德米特鲁/史蒂夫·汉密尔顿·肖/吴汉章/阿什利·詹森/斯蒂芬·怀特/朱丽·沃特斯/理查德·威尔逊	喜剧/动画/冒险	英国 / 美国	2018-07-20	吉诺密欧与朱丽叶2/神探福尔摩侏(港)/糯尔摩斯(台)/吉诺密欧与朱丽叶2：夏洛克·糯尔摩斯/Gnomeo & Juliet 2/Gnomeo and Juliet 2/Gnomeo & Juliet: Sherlock Gnomes	6.6	361
汪星卧底	拉加·高斯内尔	威尔·阿奈特/卢达克里斯/斯坦利·图齐/娜塔莎·雷昂/艾伦·卡明/加布里埃尔·伊格莱西亚斯/沙奎尔·奥尼尔/迪莉娅·谢泼德/安迪·比克维奇/奥马尔·查帕罗/凯瑞·莎勒/丹尼尔·厄根	喜剧/冒险	美国	2018-07-20	秀犬/犬展/萌犬卧底/汪牌特工		null
兄弟班	陈友	陈家乐/于湉/王梓轩/吴鹤谦/林耀声/邓加乐/任达华/金燕玲/惠英红/廖启智/谭咏麟/钟镇涛/钱小豪/陈友/彭健新/叶智强	剧情/喜剧	香港 / 中国大陆	2018-07-20	House of The Rising Sons		null
闺蜜的战争	王俊翔	贾石/苑盈/谈梓聿/赵灵儿	剧情/喜剧/爱情	中国大陆	2018-07-20	Beaties Battle		null
产科男生	梁立新	罗翔/苏小妹/陈美行/范范/马征/严仁鲜/李沛霖/张佳浩/孙峰苑/晏妮	剧情/爱情	中国大陆	2018-07-20	null		null
神奇马戏团之动物饼干	托尼·班克罗夫特/斯科特·克里斯汀·萨瓦	艾米莉·布朗特/约翰·卡拉辛斯基/伊恩·麦克莱恩/西尔维斯特·史泰龙/丹尼·德维托/雷文-西蒙尼/帕特里克·沃伯顿/塔拉·斯特朗/吉尔伯特·戈特弗雷德/詹姆斯·阿诺德·泰勒/凯文·格雷维奥斯/哈维·费斯特恩/凯莉·库柯	喜剧/动画/奇幻/冒险	美国 / 西班牙 / 中国大陆 / 韩国	2018-07-21	神奇马戏团/动物饼干/Magical Circus/Animal Crackers		null
情系丹江口	黎式恒	项斌/邵思涵/脱一然/张润/碰碰和	喜剧/爱情	中国大陆	2018-07-24	null		null
请把生命交给我	徐超	许绍洋	爱情	中国大陆	2018-07-25	Trust Your Life With Me		null
女校怪谈	邓安邦	江兰萱/何柔熹/钱玉/发哥/杜学成/潘登/王圻文宣/徐勇	恐怖	中国大陆	2018-07-26	null		null
狄仁杰之四大天王	徐克	赵又廷/冯绍峰/林更新/马思纯/刘嘉玲/阮经天/盛鉴/杨一威/许明虎/张傲月	动作/悬疑/古装	中国大陆	2018-07-27	狄仁杰3/Detective Dee: The Four Heavenly Kings		null
西虹市首富	闫非/彭大魔	沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/徐冬冬	喜剧	中国大陆	2018-07-27	资本接班人/Hello Mr. Billionaire		null
昨日青空	奚超	null	爱情/动画	中国大陆	2018-07-27	Crystal Sky of Yesterday		null
解剖室灵异事件之男生宿舍	战越	陈楚洹/黄启航/龚婉怡/张艺舰/朱拉拉	惊悚/恐怖	中国大陆	2018-07-27	男生宿舍/Inside the Boys		null
萌学园：寻找盘古	李权峰	李昂霖/林奕勋/刘书宏/翁瑞迪/蔡孟颖/林昀希/傅冠杰/杨子仪/朱晴渝/郭侑纪/时男/刘碑歌/曹曦月/海铃/夏宇童/许京川	儿童/奇幻/冒险	台湾	2018-07-28	萌学园之寻找磐古/The M Riders - Finding Pangu		null
小偷家族	是枝裕和	中川雅也/安藤樱/松冈茉优/池松壮亮/城桧吏/佐佐木美雪/绪形直人/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤/树木希林	剧情/家庭/犯罪	日本	2018-08-03	Shoplifters/Une Affaire de Famille/Manbiki kazoku	8.7	3576
风语咒	刘阔	路知行/阎萌萌/褚珺/边江/山新/郭政建/张震/苗壮/王冠南/张博恒/惠龙/王凯/苏俣/白雪岑/赵述仁/刘梓乾/王思琦/刘美奂	动画/奇幻	中国大陆	2018-08-03	画江湖之风语咒/The Wind Guardians		null
的士速递5	弗兰克·盖思堂彼得	弗兰克·盖思堂彼得/马利克·班泽拉/伯纳尔·法西/塞尔维托·埃斯波西多/萨巴纳·奥扎尼/爱德华·蒙多特/朗齐·贝迪亚/茂萨·马斯克里	喜剧/动作	法国	2018-08-03	终极杀阵5(台)/出租车5		null
妈妈咪呀2	欧·帕克	莉莉·詹姆斯/杰瑞米·艾文/梅丽尔·斯特里普/阿曼达·塞弗里德/皮尔斯·布鲁斯南/科林·费尔斯/斯特兰·斯卡斯加德/多米尼克·库珀/克里斯汀·芭伦斯基/朱丽·沃特斯/雪儿/安迪·加西亚/亚历克萨·戴维斯/杰西卡·基南·温/乔什·迪伦/休·斯金纳	喜剧/爱情/歌舞	美国	2018-08-03	妈妈咪呀！2/妈妈咪呀！回来了(台)/妈妈咪呀！开心再嚟(港)/妈妈咪呀2：再次出发/妈妈咪呀：重蹈覆辙		null
解码游戏	李海龙	韩庚/凤小岳/李媛/山下智久	喜剧/动作/犯罪	中国大陆	2018-08-03	解码者/Reborn		null
神秘世界历险记4	王云飞/张林旭/李佳怡	阎么么/赵一博/张磊/图特哈蒙/郭政建/林强/白雪岑/咩咩/魏超	动画	中国大陆	2018-08-03	null		null
真心话太冒险	谢韵/黄俊舒	涂世旻/柯子静/Stephanie Stralow	喜剧/爱情	中国大陆	2018-08-03	null		null
肆式青春	李豪凌/易小星/竹内良贵	坂泰斗/寿美菜子/白石晴香/安元洋贵/大冢刚央/长谷川育美/彭师欣/唐雅菁/陈颖晖/梁达伟/林美玉	动画	日本 / 中国大陆	2018-08-04	诗季织织/Flavors of Youth/しきおりおり		null
一出好戏	黄渤	黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟	喜剧	中国大陆	2018-08-10	大富翁/The Island		null
爱情公寓	韦正	陈赫/娄艺潇/邓家佳/孙艺洲/李佳航/李金铭	喜剧/爱情	中国大陆	2018-08-10	爱情公寓电影版/终于，又双叒叕回来搞事情了		null
巨齿鲨	乔·德特杜巴	杰森·斯坦森/李冰冰/雷恩·威尔森/鲁比·罗丝/赵文瑄/佩吉·肯尼迪/杰西卡·麦克娜美/奥拉维尔·达里·奥拉夫松/罗伯特·泰勒/蔡书雅/丘增/克利夫·柯蒂斯/安佑森/罗伯·基帕-威廉姆斯/维他亚·潘斯林加姆/安得烈·格兰杰/蒂姆·王/史蒂文·A·戴维斯/托万达·马尼莫	动作/科幻/惊悚	美国 / 中国大陆 / 香港	2018-08-10	极悍巨鲨(港)/麦格		null
美食大冒险之英雄烩	孙海鹏	null	动作/动画/冒险	中国大陆	2018-08-10	Kungfood/美食大冒险		null
勇者闯魔城	杨汉钊	李仰	喜剧/动画/奇幻	中国大陆	2018-08-10	Brave City		null
