毛不易	11661	7679027
华晨宇	14084	6016358
权志龙	14450	5819240
张宇	14778	5651006
冯提莫	18053	4347898
本兮	23107	3135776
黑龙	23184	3121377
李健	24535	2902442
王嘉尔	25071	2818814
童童	28630	2358119
汪峰	29306	2278109
赵雷	30224	2186191
张碧晨	32810	1954456
艾辰	32919	1944720
陈粒	33881	1867557
范丞丞	36256	1703826
徐良	37795	1612090
陈一发	38418	1575018
庄心妍	40094	1487398
李志	41771	1408057
泫雅	46046	1231765
刘芳	46362	1220314
六哲	48392	1152413
阿尔法	49349	1120966
金志文	51936	1045916
金泰亨	53135	1013732
李琦	54759	973262
田柾国	57750	902390
迪玛希	57894	899338
陈旭	58286	890045
杨光	58592	883250
宋冬野	61198	830580
泰妍	62558	806912
韩磊	62619	805620
孙露	63991	781180
龚琳娜
阿兰	64698	768855
陈明	67196	726912
黄鑫	69799	687644
杨建	70887	672604
皮几万	72580	651055
阿姆	72882	647239
闵玧其	73924	634509
王莉	74619	626592
陈佳	75601	615297
朴智旻	77652	592008
陈星	78724	580150
南妮	78835	579051
金泰妍	79614	570850
赖冠霖	79977	567374
周深	84762	521003
张航	85884	511162
马伯骞	86551	504918
陈思	88122	492025
钟易轩	90877	470552
尤长靖	91080	468955
朱星杰	91867	462986
鸟叔	93150	453805
张爽	93391	451924
黄明昊	94652	442629
王淼	96258	431018
廖俊涛	97833	420866
郁可唯	97960	420050
杨娟	99866	408417
艾福杰尼	100100	406905
小柯	103951	384685
谢春花	105561	376094
冥月	108124	363097
浩轩	109960	353966
金燕	110843	349879
格子兮	111113	348608
周震南	111200	348148
陈鸿宇	112423	342411
满舒克	113742	336638
阿黛尔	113809	336344
焦迈奇	116515	325322
阿悄	117105	322985
魏巡	117853	319953
刘三姐	119108	314615
阿桑	120071	310638
叶炫清	123186	299133
阿肆	123722	297330
郑号锡	123777	297128
子恒	123831	296929
简弘亦	124667	293930
段宜恩	125018	292725
姜玉阳	129064	279055
袁娅维	129662	277077
滨崎步	131086	272769
谢帝	135009	260411
李灿	136627	255530
陆婷	137823	252195
金玟岐	138396	250618
姜丹尼尔	139143	248613
欧弟	140763	244343
金南俊	141223	243094
谢军	143479	237255
林凡	152945	215305
马頔	153295	214554
降央卓玛	153955	213161
金硕珍	158116	204950
尹毓恪	159800	201661
马旭东	164631	192862
苏诗丁	165286	191781
鹿乃	165451	191535
刘珂	166037	190478
董贞	167693	187678
徐歌阳	169126	185360
一博	175384	175660
黄致列	176372	174225
单色凌	176390	174205
万妮达	178350	171340
刘文杰	178978	170390
裴珠泫	179505	169666
扎拉	181031	167506
雷婷	184066	163402
李常超	184242	163159
徐真真	185627	161383
陈乐基	186330	160467
钱正昊	188305	157875
孙八一	189624	156265
马博	190898	154685
戴荃	192128	153240
乌兰图雅	192589	152631
王若琳	192742	152432
结石姐	192910	152236
张楚	195798	148913
裴珍映	195841	148867
艾菲	195950	148738
爽子	196157	148509
莎莉	196278	148383
沉珂	198599	145775
大哲	198918	145443
天舞	199923	144360
樊凡	202572	141602
刘瑞琦	203731	140408
黄榕生	207702	136358
小凌	208352	135736
苏芮	208967	135178
朱之文	209105	135042
张振宇	209761	134439
尧十三	210370	133879
阿才	210708	133506
陈羽凡	211564	132681
董思成	213244	131108
苏运莹	214479	130081
朴宰范	216363	128398
林超泽	216742	128050
白安	217125	127723
侯磊	217915	127008
黄丽玲	219216	125862
魏新雨	219761	125390
金池	221208	124151
杨曦	221942	123508
王晗旭	222852	122737
云菲菲	223490	122250
李文豪	223998	121838
川子	227496	118975
郭沁	229098	117719
蒋雪儿	230361	116804
周子瑜	233853	114125
龚琳娜	236221	112532
李泰容	240428	109489
李佳薇	241469	108751
张木易	241488	108737
陈玺达	242260	108221
徐誉滕	244953	106434
李马克	246629	105363
旭日阳刚	246874	105201
李夏怡	246975	105143
罗百吉	247208	105007
宇珩	248684	104093
朱娜	251327	102480
李思瑶	254097	100818
李大辉	257481	98847
张阳阳	257854	98636
刘倩倩	264306	95092
贺峻霖	267014	93668
王菲菲	268197	93023
金韩彬	268332	92961
谢锐韬	270252	91996
萧全	272364	90959
陈奂仁	273388	90451
曹璐	273849	90227
谭艳	275800	89254
蒋敦豪	276122	89092
埃米纳姆	277152	88580
袁航	277960	88174
林煐岷	281936	86354
茜拉	283985	85386
徐子轩	284530	85127
林军	285093	84883
印子月	289020	83179
洛伊	289460	82988
金润吉	290373	82588
朴佑镇	291581	82064
李佳霖	295162	80534
王广允	295170	80531
蔡妍	296288	80058
洪雨雷	298589	79114
耿斯汉	301116	78123
颜小健	301712	77877
王南钧	303635	77166
神谷浩史	310628	74505
陈芳语	312127	73926
杭盖	317404	72042
丁娜	319293	71369
徐明浩	320175	71062
小仓唯	321859	70468
马晓晨	324476	69591
魏帅	324582	69553
带泪的鱼	326498	68929
黄仁俊	328382	68342
李思宇	329364	68009
帕尔哈提	333155	66851
李行亮	334707	66370
葛林	335080	66261
河成云	337968	65432
姜涩琪	339906	64845
朴秀荣	341914	64246
筱崎爱	343984	63675
陆通	345977	63107
宇多田光	348223	62478
钉宫理惠	350896	61743
程响	350971	61726
刘明辉	352310	61368
陈萝莉	353566	61039
赵品霖	354411	60811
崔荣宰	355408	60544
白智英	361811	58895
金龙国	362124	58818
朴恩率	363579	58463
秀彬	363860	58391
张玮伽	363996	58353
黄明志	365172	58060
徐晶晶	369657	57010
张婉清	376582	55426
齐晨	381305	54382
梶裕贵	382354	54151
郭一凡	382656	54088
金艺琳	383522	53904
张钰琪	383848	53835
萧煌奇	384599	53677
徐一鸣	386788	53232
金在焕	388070	52968
汪晨蕊	392721	52012
程璧	394545	51641
根呷	395971	51352
金知元	396764	51203
贾璐	397883	50979
李宣美	398860	50792
张玉霞	405841	49438
王晓天	406803	49255
杨小曼	408360	48974
王崇	409043	48847
刘明湘	412047	48310
张鑫鑫	413288	48110
柳善皓	418543	47205
金秦禹	419896	46977
林娜琏	422861	46485
友田彩也香	423491	46380
吾木提	425632	46025
黄旼泫	432634	44935
孙铭泽	432866	44895
曹蕊	437102	44255
席琳迪翁	437163	44246
素敏	438072	44110
袁维娅	439156	43951
雨宫天	443842	43260
卢广仲	443862	43257
央金	447809	42686
付笛生	448066	42650
